Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
User_Login,500,1159,1153,1178,1191,1230,1125,2158,0.000%,.97259,0.98,0.40
available/shift/0,500,229,223,228,230,282,218,1312,0.000%,.97435,0.56,0.81
project/details/v1/0,500,229,221,226,227,292,215,1153,0.000%,.97435,0.31,0.86
user/details/0,500,224,221,226,228,237,215,1178,0.000%,.97435,0.31,0.85
workstream/0,500,439,425,496,520,566,218,1620,0.000%,.97398,3.39,0.82
project/jobs,500,1163,1149,1174,1186,1829,1120,2328,0.000%,.97171,3.09,0.85
tasking/0,500,1155,1147,1171,1178,1238,1119,2221,0.000%,.97165,0.80,0.86
project/login/0,500,233,224,228,229,285,218,1351,0.000%,.97280,0.28,0.92
https://app.dev.rnd.imerit.cloud/odin-projectV/index.html#eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyQ29kZSI6Im5hbWl0YS5zaW5naEBpbWVyaXQubmV0IiwiZm5hbWUiOiJOYW1pdGEiLCJsbmFtZSI6IlNpbmdoIiwiZGVwYXJ0bWVudCI6IlRlY2hub2xvZ3kiLCJkZXNpZ25hdGlvbiI6IlNwZWNpYWxpc3QgLSBUZWNobm9sb2d5IFNvbHV0aW9ucyIsImJyYW5jaCI6IkluZGlhIEhRIiwiZW1wQ29kZSI6IkkxMDU0IiwiZW5nYWdlQ29kZSI6IkVDLXZIQVZiMExQUnVLbSIsImpvYkNvZGUiOiJKQy01ZjI5NTZhNmFlMTE0ZjAwMDE0MWI0NWEiLCJub2RlSWQiOiJjMTQiLCJpYXQiOjE1OTY2MzYxOTIsImV4cCI6MTU5NjYzOTc5Mn0.b75kBJ7W8b48My3OCaZ05xGRx0vQtapD-rEeYiGsbmU,500,132,89,106,204,980,68,2506,0.000%,.97304,3053.22,3.04
verify/token,500,1156,1147,1171,1181,1421,1118,2271,0.000%,.97563,1.56,0.83
terraform/delegator/config,500,270,259,283,308,415,245,1266,0.000%,.97736,11.95,0.75
terraform/delegator/batch,1000,710,1130,1171,1187,1293,232,1903,0.000%,.85779,3.02,0.89
GetBatchDetail_API_delegator/status,500,239,229,237,245,313,221,1236,0.000%,.97748,1.23,0.75
FrameInitilization_Loopcounter,500,0,0,1,1,1,0,1,0.000%,.97792,0.00,0.00
https://api.projectv.staging.rnd.imerit.cloud/terraform/delegator/judgements/2,2000,467,232,1153,1170,1215,222,2247,0.000%,3.89759,1.96,3.01
Loop Counter setup,500,0,0,1,1,1,0,1,0.000%,.97791,0.00,0.00
terraform/delegator/status,1000,258,230,242,273,1156,222,1414,0.000%,1.95406,2.13,1.84
 Classifcationsetup,500,0,0,1,1,1,0,2,0.000%,.97789,0.00,0.00
 Counter setup,500,0,0,0,1,1,0,1,0.000%,.97789,0.00,0.00
RandomKey Generator,61500,0,0,0,1,1,0,90,0.000%,53.52755,0.00,0.00
BeanShell Sampler,61500,0,0,0,1,1,0,90,0.000%,53.52793,0.00,0.00
Annotation,61500,1172,1155,1193,1240,1756,1119,7613,0.005%,53.43779,18.06,255.64
Comment_FormInput,2000,467,235,1156,1163,1210,222,1789,0.000%,3.80636,1.29,4.65
Forminput setup,500,0,0,1,1,1,0,1,0.000%,.95501,0.00,0.00
Test,500,156587,156460,158028,158785,159932,153858,162754,0.600%,.42573,1369.58,260.72
TOTAL,199500,784,0,1163,1178,1376,0,162754,0.003%,169.86241,2739.14,521.43
