Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
User_Login,100,1164,1118,1252,24.77,0.000%,.97455,0.98,0.40,1027.6
available/shift/0,100,227,217,328,11.88,0.000%,.98431,0.57,0.82,589.0
project/details/v1/0,100,224,214,293,10.12,0.000%,.98439,0.31,0.86,321.0
user/details/0,100,223,214,269,6.57,0.000%,.98461,0.31,0.86,321.0
workstream/0,100,428,220,683,67.47,0.000%,.98269,4.70,0.82,4896.2
project/jobs,100,1337,1117,3964,435.72,0.000%,.97098,2.32,0.85,2444.0
tasking/0,100,1159,1112,1283,28.62,0.000%,.97393,0.80,0.86,842.0
project/login/0,100,239,219,268,12.18,0.000%,.98255,0.27,0.92,277.5
https://app.dev.rnd.imerit.cloud/odin-projectV/index.html#eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyQ29kZSI6Im5hbWl0YS5zaW5naEBpbWVyaXQubmV0IiwiZm5hbWUiOiJOYW1pdGEiLCJsbmFtZSI6IlNpbmdoIiwiZGVwYXJ0bWVudCI6IlRlY2hub2xvZ3kiLCJkZXNpZ25hdGlvbiI6IlNwZWNpYWxpc3QgLSBUZWNobm9sb2d5IFNvbHV0aW9ucyIsImJyYW5jaCI6IkluZGlhIEhRIiwiZW1wQ29kZSI6IkkxMDU0IiwiZW5nYWdlQ29kZSI6IkVDLXZIQVZiMExQUnVLbSIsImpvYkNvZGUiOiJKQy01ZjI5NTZhNmFlMTE0ZjAwMDE0MWI0NWEiLCJub2RlSWQiOiJjMTQiLCJpYXQiOjE1OTY2MzYxOTIsImV4cCI6MTU5NjYzOTc5Mn0.b75kBJ7W8b48My3OCaZ05xGRx0vQtapD-rEeYiGsbmU,100,178,68,2683,361.90,0.000%,.98396,3067.97,3.07,3192804.3
verify/token,100,1220,1112,2113,151.53,0.000%,.99851,1.60,0.85,1637.6
terraform/delegator/config,100,313,247,1270,143.00,0.000%,1.00833,12.03,0.77,12216.0
terraform/delegator/batch,200,708,230,1270,449.94,0.000%,.24435,0.88,0.25,3699.6
GetBatchDetail_API_delegator/status,100,309,219,1208,248.74,0.000%,1.01256,1.27,0.77,1289.0
FrameInitilization_Loopcounter,100,0,0,1,0.31,0.000%,1.02461,0.00,0.00,.0
https://api.projectv.staging.rnd.imerit.cloud/terraform/delegator/judgements/2,396,454,219,1247,392.56,0.000%,3.97942,3.25,3.06,836.5
Loop Counter setup,100,0,0,1,0.34,0.000%,1.01470,0.00,0.00,.0
terraform/delegator/status,200,405,220,1283,356.47,0.000%,2.00182,2.19,1.88,1121.0
 Classifcationsetup,100,0,0,1,0.34,0.000%,1.01513,0.00,0.00,.0
 Counter setup,100,0,0,1,0.35,0.000%,1.01512,0.00,0.00,.0
RandomKey Generator,13400,0,0,2,0.27,0.000%,16.68647,0.00,0.00,.0
BeanShell Sampler,13400,0,0,477,4.16,0.000%,16.68659,0.00,0.00,.0
Annotation,13400,1176,1108,4135,63.18,0.731%,16.69150,5.64,68.33,346.3
Comment_FormInput,396,268,220,1283,160.61,0.000%,3.12057,1.05,3.82,346.0
Forminput setup,100,0,0,1,0.24,0.000%,.79960,0.00,0.00,.0
Test,100,169763,167127,175725,1491.72,64.000%,.12076,386.73,69.13,3279387.3
TOTAL,43192,786,0,175725,8158.89,0.375%,52.15726,773.45,138.25,15185.2
