Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JWT_Token_Generation,500,43,17,126,167,261,8,459,0.000%,4.24034,0.00,0.00
verify/token,500,1475,1422,1534,1668,2557,1369,3396,0.000%,4.18925,7.00,3.88
terraform/delegator/config,500,500,342,635,1315,2270,293,3747,0.000%,4.23693,51.82,3.54
terraform/delegator/batch,1000,1072,1405,1566,1951,2538,285,3908,0.000%,2.30269,8.12,2.55
GetBatchDetail_API_delegator/status,500,1119,1415,1512,1624,3038,275,3454,0.000%,4.14230,5.22,3.46
FrameInitilization_Loopcounter,500,0,0,1,1,1,0,1,0.000%,4.15679,0.00,0.00
https://api.projectv.staging.rnd.imerit.cloud/terraform/delegator/judgements/2,2000,702,308,1471,1551,2466,275,5221,0.000%,15.82617,7.97,13.32
Loop Counter setup,500,0,0,1,1,1,0,1,0.000%,4.06362,0.00,0.00
terraform/delegator/status,1000,713,301,1487,1548,2394,274,4541,0.000%,8.02015,8.75,8.13
 Classifcationsetup,500,0,0,1,1,1,0,1,0.000%,4.03037,0.00,0.00
 Counter setup,500,0,0,1,1,1,0,1,0.000%,4.02914,0.00,0.00
RandomKey Generator,61500,0,0,1,1,1,0,802,0.000%,146.07243,0.00,0.00
BeanShell Sampler,61500,0,0,1,1,1,0,1089,0.000%,146.07556,0.00,0.00
Annotation,61500,1435,1475,2039,2361,3047,274,24320,0.000%,145.37873,49.12,705.69
Comment_FormInput,2000,841,333,1571,1963,2549,274,4091,0.000%,11.52353,3.89,14.88
Forminput setup,500,0,0,1,1,1,0,247,0.000%,2.95573,0.00,0.00
Test,500,189459,190300,197340,199494,209013,160972,215818,0.000%,1.14606,79.45,701.88
TOTAL,195500,969,0,1553,1799,2653,0,215818,0.000%,448.10364,158.89,1403.74
