Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JWT_Token_Generation,500,35,20,59,93,235,8,947,0.000%,4.09175,0.00,0.00
verify/token,500,1216,1165,1362,1587,1887,1115,2024,0.000%,4.05811,6.78,3.76
terraform/delegator/config,500,287,261,316,400,773,240,1271,0.000%,4.09356,50.07,3.42
terraform/delegator/batch,1000,1245,1121,2884,4168,6619,226,21576,0.000%,2.17606,7.67,2.41
GetBatchDetail_API_delegator/status,500,351,229,1127,1162,1233,219,1855,0.000%,4.08878,5.11,3.42
FrameInitilization_Loopcounter,500,0,0,1,1,2,0,139,0.000%,4.09779,0.00,0.00
https://api.projectv.staging.rnd.imerit.cloud/terraform/delegator/judgements/2,2000,502,232,1175,1236,1648,219,2049,0.000%,15.79030,7.96,13.29
Loop Counter setup,500,0,0,1,1,1,0,10,0.000%,4.00782,0.00,0.00
terraform/delegator/status,1000,471,232,1170,1226,1700,219,1998,0.000%,7.91741,8.65,8.02
 Classifcationsetup,500,0,0,1,1,1,0,3,0.000%,3.98905,0.00,0.00
 Counter setup,500,0,0,1,1,1,0,5,0.000%,3.98972,0.00,0.00
RandomKey Generator,61500,0,0,0,1,1,0,175,0.000%,136.76605,0.00,0.00
BeanShell Sampler,61500,0,0,1,1,1,0,682,0.000%,136.77365,0.00,0.00
Annotation,61500,1339,1176,2190,3440,5446,218,23676,0.000%,136.26695,46.04,661.44
Comment_FormInput,2000,1466,1138,3617,4355,6322,217,23528,0.000%,8.45552,2.86,10.92
Forminput setup,500,0,0,0,1,1,0,1,0.000%,2.13068,0.00,0.00
Test,500,177956,179321,213213,216215,223711,113274,226795,0.000%,1.08389,75.13,663.79
TOTAL,195500,910,0,1275,1819,4521,0,226795,0.000%,423.79862,150.26,1327.57
