Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
JWT_Token_Generation,500,43,8,459,59.50,0.000%,4.24034,0.00,0.00,.0
verify/token,500,1475,1369,3396,226.20,0.000%,4.18925,7.00,3.88,1711.9
terraform/delegator/config,500,500,293,3747,376.12,0.000%,4.23693,51.82,3.54,12524.0
terraform/delegator/batch,1000,1072,285,3908,620.69,0.000%,2.30269,8.12,2.55,3608.7
GetBatchDetail_API_delegator/status,500,1119,275,3454,602.15,0.000%,4.14230,5.22,3.46,1290.8
FrameInitilization_Loopcounter,500,0,0,1,0.31,0.000%,4.15679,0.00,0.00,.0
https://api.projectv.staging.rnd.imerit.cloud/terraform/delegator/judgements/2,2000,702,275,5221,611.87,0.000%,15.82617,7.97,13.32,516.0
Loop Counter setup,500,0,0,1,0.32,0.000%,4.06362,0.00,0.00,.0
terraform/delegator/status,1000,713,274,4541,618.62,0.000%,8.02015,8.75,8.13,1117.7
 Classifcationsetup,500,0,0,1,0.37,0.000%,4.03037,0.00,0.00,.0
 Counter setup,500,0,0,1,0.30,0.000%,4.02914,0.00,0.00,.0
RandomKey Generator,61500,0,0,802,3.55,0.000%,146.07243,0.00,0.00,.0
BeanShell Sampler,61500,0,0,1089,4.93,0.000%,146.07556,0.00,0.00,.0
Annotation,61500,1435,274,24320,645.21,0.000%,145.37873,49.12,705.69,346.0
Comment_FormInput,2000,841,274,4091,663.01,0.000%,11.52353,3.89,14.88,346.0
Forminput setup,500,0,0,247,11.03,0.000%,2.95573,0.00,0.00,.0
Test,500,189459,160972,215818,7334.09,0.000%,1.14606,79.45,701.88,70985.5
TOTAL,195500,969,0,215818,9582.48,0.000%,448.10364,158.89,1403.74,363.1
