Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
JWT_Token_Generation,500,35,8,947,70.90,0.000%,4.09175,0.00,0.00,.0
verify/token,500,1216,1115,2024,148.36,0.000%,4.05811,6.78,3.76,1711.9
terraform/delegator/config,500,287,240,1271,101.25,0.000%,4.09356,50.07,3.42,12524.0
terraform/delegator/batch,1000,1245,226,21576,2132.78,0.000%,2.17606,7.67,2.41,3608.9
GetBatchDetail_API_delegator/status,500,351,219,1855,310.26,0.000%,4.08878,5.11,3.42,1280.6
FrameInitilization_Loopcounter,500,0,0,139,7.65,0.000%,4.09779,0.00,0.00,.0
https://api.projectv.staging.rnd.imerit.cloud/terraform/delegator/judgements/2,2000,502,219,2049,438.88,0.000%,15.79030,7.96,13.29,516.0
Loop Counter setup,500,0,0,10,0.55,0.000%,4.00782,0.00,0.00,.0
terraform/delegator/status,1000,471,219,1998,421.27,0.000%,7.91741,8.65,8.02,1119.0
 Classifcationsetup,500,0,0,3,0.36,0.000%,3.98905,0.00,0.00,.0
 Counter setup,500,0,0,5,0.37,0.000%,3.98972,0.00,0.00,.0
RandomKey Generator,61500,0,0,175,1.28,0.000%,136.76605,0.00,0.00,.0
BeanShell Sampler,61500,0,0,682,3.04,0.000%,136.77365,0.00,0.00,.0
Annotation,61500,1339,218,23676,1412.66,0.000%,136.26695,46.04,661.44,346.0
Comment_FormInput,2000,1466,217,23528,2032.15,0.000%,8.45552,2.86,10.92,346.0
Forminput setup,500,0,0,1,0.27,0.000%,2.13068,0.00,0.00,.0
Test,500,177956,113274,226795,29393.07,0.000%,1.08389,75.13,663.79,70979.6
TOTAL,195500,910,0,226795,9147.29,0.000%,423.79862,150.26,1327.57,363.1
